id,abilities
1,Overgrow
2,Chlorophyll
3,Blaze
4,Solar Power
5,Torrent
6,Rain Dish
7,Shield Dust
8,Run Away
9,Shed Skin
10,Compoundeyes
11,Tinted Lens
12,Swarm
13,Sniper
14,Keen Eye
15,Tangled Feet
16,Big Pecks
17,Guts
18,Hustle
19,Gluttony
20,Thick Fat
21,Intimidate
22,Unnerve
23,Static
24,Lightningrod
25,Surge Surfer
26,Sand Veil
27,Sand Rush
28,Snow Cloak
29,Slush Rush
30,Poison Point
31,Rivalry
32,Sheer Force
33,Cute Charm
34,Magic Guard
35,Friend Guard
36,Unaware
37,Flash Fire
38,Drought
39,Snow Warning
40,Competitive
41,Frisk
42,Inner Focus
43,Infiltrator
44,Stench
45,Effect Spore
46,Dry Skin
47,Damp
48,Wonder Skin 
49,Arena Trap
50,Sand Force
51,Tangling Hair
52,Pickup
53,Technician
54,Rattled
55,Limber
56,Fur Coat
57,Cloud Nine
58,Swift Swim
59,Vital Spirit
60,Anger Point
61,Defiant
62,Justified
63,Water Absorb
64,Synchronize
65,No Guard
66,Steadfast
67,Clear Body
68,Liquid Ooze
69,Rock Head
70,Sturdy
71,Magnet Pull
72,Galvanize
73,Flame Body
74,Oblivious
75,Own Tempo
76,Regenerator
77,Analytic
78,Early Bird
79,Hydration
80,Ice Body
81,Sticky Hold
82,Poison Touch
83,Power of Alchemy
84,Shell Armor
85,Skill Link
86,Overcoat
87,Levitate
88,Cursed Body
89,Weak Armor
90,Insomnia
91,Forewarn
92,Hyper Cutter
93,Soundproof
94,Aftermath
95,Harvest
96,Battle Armor
97,Reckless
98,Unburden
99,Iron Fist
100,Natural Cure
101,Serene Grace
102,Healer
103,Leaf Guard
104,Scrappy
105,Water Veil
106,Illuminate
107,Filter
108,Mold Breaker
109,Moxie
110,Imposter
111,Adaptability
112,Anticipation
113,Volt Absorb
114,Quick Feet
115,Trace
116,Download
117,Pressure
118,Immunity
119,Marvel Scale
120,Multiscale
121,Super Luck
122,Magic Bounce
123,Plus
124,Huge Power
125,Sap Sipper
126,Drizzle
127,Speed Boost
128,Prankster
129,Shadow Tag
130,Telepathy
131,Light Metal
132,Contrary
133,Pickpocket
134,Honey Gather
135,Magma Armor
136,Moody
137,Suction Cups
138,Sand Stream
139,Poison Heal
140,Truant
141,Wonder Guard
142,Normalize
143,Stall
144,Heavy Metal
145,Pure Power
146,Minus
147,Rough Skin
148,Simple
149,Solid Rock
150,White Smoke
151,Toxic Boost
152,Storm Drain
153,Forecast
154,Color Change
155,Protean
156,Air Lock
157,Flower Gift
158,Flare Boost
159,Klutz
160,Heatproof
161,Motor Drive
162,Slow Start
163,Bad Dreams
164,Multitype
165,Victory Star
166,Zen Mode
167,Mummy
168,Defeatist
169,Illusion
170,Iron Barbs
171,Turboblaze
172,Teravolt
173,Bulletproof
174,Magician
175,Battle Bond
176,Cheek Pouch
177,Gale Wings
178,Flower Veil
179,Symbiosis
180,Grass Pelt
181,Stance Change
182,Aroma Veil
183,Sweet Veil
184,Tough Claws
185,Mega Launcher
186,Strong Jaw
187,Refrigerate
188,Pixilate
189,Gooey
190,Fairy Aura
191,Dark Aura
192,Aura Break
193,Power Construct
194,Long Reach
195,Liquid Voice
196,Stakeout
197,Battery
198,Dancer
199,Schooling
200,Merciless
201,Stamina
202,Water Bubble
203,Corrosion
204,Fluffy
205,Queenly Majesty
206,Triage
207,Receiver
208,Wimp Out
209,Emergency Exit
210,Water Compaction
211,Innards Out
212,RKS System
213,Shields Down
214,Comatose
215,Disguise
216,Dazzling
217,Berserk
218,Steelworker
219,Electric Surge
220,Psychic Surge
221,Grassy Surge
222,Misty Surge
223,Full Metal Body
224,Shadow Shield
225,Beast Boost
226,Prism Armor
227,Soul-Heart
228,Aerilate
229,Delta Stream
230,Desolate Land
231,Primordial Sea
232,Parental Bond
